actor,title,score,start_year,type
Jorge Garcia,The Wedding Ringer,6.8,2015,Movie
Jorge Garcia,Cooties,5.3,2014,Movie
Jorge Garcia,iSteve,5.4,2013,Movie
Jorge Garcia,The Ordained,6.9,2013,TV Movie
Jorge Garcia,Alcatraz,7.1,2012,TV Series
Jorge Garcia,Maktub,6.9,2011,Other/Unknown
Jorge Garcia,Lost,8.5,2004,TV Series
Jorge Garcia,Sweetzer,7.2,2007,Other/Unknown
Jorge Garcia,Deck the Halls,4.8,2006,Movie
Jorge Garcia,Little Athens,5.6,2005,Movie
Jorge Garcia,The Good Humor Man,6.2,2005,Movie
Jorge Garcia,Our Time Is Up,7.5,2004,Movie
Jorge Garcia,Happily Even After,6.9,2004,Movie
Jorge Garcia,Old School,7.1,2003,TV Movie
Jorge Garcia,The Slow and the Cautious,5.8,2002,Movie
Jorge Garcia,Tomorrow by Midnight,5.8,2001,Movie
Jorge Garcia,King of the Open Mics,4.4,2000,Other/Unknown
Jorge Garcia,Raven's Ridge,4.6,1997,Movie
Naveen Andrews,Far Cry 4,9.1,2014,Video Game
Naveen Andrews,Once Upon a Time in Wonderland,7.1,2013,TV Series
Naveen Andrews,Diana,5.4,2013,Movie
Naveen Andrews,Reckless,8.0,2013,TV Movie
Naveen Andrews,Sinbad,6.6,2012,TV Series
Naveen Andrews,Lost,8.5,2004,TV Series
Naveen Andrews,Animals,3.9,2008,Movie
Naveen Andrews,The Brave One,6.8,2007,Movie
Naveen Andrews,Planet Terror,7.2,2007,Movie
Naveen Andrews,Provoked: A True Story,6.6,2006,Movie
Naveen Andrews,The Ten Commandments,5.3,2006,TV Movie
Naveen Andrews,Bride & Prejudice,6.2,2004,Movie
Naveen Andrews,Easy,5.9,2003,Movie
Naveen Andrews,Future Tense,6.3,2003,TV Movie
Naveen Andrews,Rollerball,2.9,2002,Movie
Naveen Andrews,The Chippendales Murder,4.4,2000,TV Movie
Naveen Andrews,A Question of Faith,6.8,2000,Movie
Naveen Andrews,Drowning on Dry Land,5.4,1999,Movie
Naveen Andrews,Mighty Joe Young,5.5,1998,Movie
Naveen Andrews,Bombay Boys,7.0,1998,Movie
Naveen Andrews,My Own Country,7.2,1998,TV Movie
Naveen Andrews,True Love and Chaos,5.8,1997,Movie
Naveen Andrews,The English Patient,7.4,1996,Movie
Naveen Andrews,Kama Sutra: A Tale of Love,6.0,1996,Movie
Naveen Andrews,The Peacock Spring,8.3,1996,TV Movie
Naveen Andrews,The Buddha of Suburbia,7.4,1993,Other/Unknown
Naveen Andrews,Double Vision,5.2,1992,TV Movie
Naveen Andrews,Wild West,6.2,1992,Movie
Naveen Andrews,London Kills Me,6.4,1991,Movie
Matthew Fox,World War Z,7.0,2013,Movie
Matthew Fox,Alex Cross,5.1,2012,Movie
Matthew Fox,Emperor,6.5,2012,Movie
Matthew Fox,Lost,8.5,2004,TV Series
Matthew Fox,Speed Racer,6.0,2008,Video Game
Matthew Fox,Vantage Point,6.6,2008,Movie
Matthew Fox,Lost: Missing Pieces,8.2,2007,Other/Unknown
Matthew Fox,We Are Marshall,7.1,2006,Movie
Matthew Fox,A Token for Your Thoughts,6.1,2003,Movie
Matthew Fox,Haunted,7.5,2002,TV Series
Matthew Fox,Party of Five,6.7,1994,TV Series
Matthew Fox,Behind the Mask,6.2,1999,TV Movie
Matthew Fox,My Boyfriend's Back,5.2,1993,Movie
Matthew Fox,Freshman Dorm,6.4,1992,TV Series
Josh Holloway,Intelligence,7.0,2014,TV Series
Josh Holloway,Sabotage,5.8,2014,Movie
Josh Holloway,Battle of the Year,4.9,2013,Movie
Josh Holloway,Paranoia,5.6,2013,Movie
Josh Holloway,Mission: Impossible - Ghost Protocol,7.4,2011,Movie
Josh Holloway,Five,7.1,2011,TV Movie
Josh Holloway,Lost,8.5,2004,TV Series
Josh Holloway,Stay Cool,5.2,2009,Movie
Josh Holloway,Whisper,5.8,2007,Movie
Josh Holloway,Command & Conquer 3: Tiberium Wars,8.4,2007,Video Game
Josh Holloway,Dr. Benny,7.0,2003,Movie
Josh Holloway,Sabretooth,3.3,2002,TV Movie
Josh Holloway,Mi amigo,4.0,2002,Movie
Josh Holloway,Moving August,6.4,2002,Movie
Josh Holloway,Cold Heart,5.3,2001,Movie
Daniel Dae Kim,Hawaii Five-0,7.5,2010,TV Series
Daniel Dae Kim,The Tale of The Princess Kaguya,8.2,2013,Movie
Daniel Dae Kim,Saints Row IV,8.3,2013,Video Game
Daniel Dae Kim,Arena,4.8,2011,Movie
Daniel Dae Kim,Lost,8.5,2004,TV Series
Daniel Dae Kim,Saints Row 2,8.2,2008,Video Game
Daniel Dae Kim,The Andromeda Strain,6.2,2008,Other/Unknown
Daniel Dae Kim,Avatar: The Last Airbender - The Burning Earth,8.8,2007,Video Game
Daniel Dae Kim,Saints Row,7.8,2006,Video Game
Daniel Dae Kim,24: The Game,8.1,2006,Video Game
Daniel Dae Kim,The Cave,5.0,2005,Movie
Daniel Dae Kim,Sin,4.7,2003,Movie
Daniel Dae Kim,Ride or Die,4.3,2003,Movie
Daniel Dae Kim,Momentum,4.7,2003,TV Movie
Daniel Dae Kim,Tenchu: Wrath of Heaven,8.6,2003,Video Game
Daniel Dae Kim,Looking for Bobby D,7.7,2001,Movie
Daniel Dae Kim,"Murder, She Wrote: A Story to Die For",6.9,2000,TV Movie
Daniel Dae Kim,Crusade,6.7,1999,TV Series
Daniel Dae Kim,No Salida,6.7,1998,Other/Unknown
Daniel Dae Kim,Brave New World,5.2,1998,TV Movie
Daniel Dae Kim,American Shaolin,5.7,1991,Movie
Yunjin Kim,Mistresses,7.0,2013,TV Series
Yunjin Kim,The International Market,7.9,2014,Movie
Yunjin Kim,The Neighbors,6.4,2012,Movie
Yunjin Kim,Sleeping Dogs,8.4,2012,Video Game
Yunjin Kim,Sim-jang-i Ddwooin-da,6.7,2010,Movie
Yunjin Kim,Lost,8.5,2004,TV Series
