actor,awards,major,media_info,metacritic,score,title,years
Jorge Garcia,No Awards,Major Role,Thriller,No Metacritic,Not yet released,Running Out of Time,Unable to get Years
Jorge Garcia,No Awards,Major Role,Drama,No Metacritic,Not yet released,When We Were Pirates,Unable to get Years
Jorge Garcia,No Awards,Major Role,80 min                 - Animation                 -              24 July 2015(China),No Metacritic,Not yet released,Rock Dog,(2015)
Jorge Garcia,No Awards,Major Role,- Comedy                 -              2015(USA),No Metacritic,Not yet released,Get a Job,(2015)
Jorge Garcia,No Awards,Major Role,24 min                 - Short|Crime|Drama                 -              2014(USA),No Metacritic,Not yet released,Spade,(2014)
Jorge Garcia,"Nominated for 1 Golden Globe.
Another 6 wins & 14 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 42 min                 - Action|Crime|Drama,No Metacritic,7.5,Hawaii Five-0,(2010– )
Jorge Garcia,"1 win.

See more awards »",Major Role,101 min                 - Comedy|Romance                 -              16 January 2015(USA),34/100,6.8,The Wedding Ringer,(2015)
Jorge Garcia,No Awards,Major Role,12 min                 - Short|Drama|Sci-Fi,No Metacritic,Not yet released,The Lummox,(2014)
Jorge Garcia,No Awards,Major Role,TV Movie                         -                             8 min                 - Comedy                 -              10 April 2014(USA),No Metacritic,Not yet released,Food Truck,(2014)
Jorge Garcia,"Nominated for 2 Golden Globes.
Another 19 wins & 65 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 22 min                 - Comedy|Drama|Romance,No Metacritic,8.5,How I Met Your Mother,(2005–2014)
Jorge Garcia,No Awards,Major Role,96 min                 - Comedy|Horror|Sci-Fi                 -              10 October 2014(India),No Metacritic,5.3,Cooties,(2014)
Jorge Garcia,No Awards,Not Major Role,TV Series                                     - Comedy|Romance|Sci-Fi,No Metacritic,6.0,Maggie,(2013– )
Jorge Garcia,"Nominated for 5 Primetime Emmys.
Another 7 wins & 46 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 60 min                 - Adventure|Fantasy|Romance,No Metacritic,8.1,Once Upon a Time,(2011– )
Jorge Garcia,No Awards,Major Role,79 min                 - Biography|Comedy                 -              15 April 2013(USA),No Metacritic,5.4,iSteve,(2013)
Jorge Garcia,"Won 1 Golden Globe.
Another 5 wins & 27 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 28 min                 - Comedy|Drama,No Metacritic,8.4,Californication,(2007–2014)
Jorge Garcia,No Awards,Major Role,TV Movie                         - Crime|Drama                 -              2013(USA),No Metacritic,6.9,The Ordained,(2013)
Jorge Garcia,"2 wins & 6 nominations.

See more awards »",Major Role,TV Series                                 -                                 60 min                 - Action|Crime|Drama,No Metacritic,7.1,Alcatraz,(2012)
Jorge Garcia,"2 wins & 6 nominations.

See more awards »",Major Role,Comedy                 -              16 December 2011(Spain),No Metacritic,6.9,Maktub,(2011)
Jorge Garcia,"1 nomination.

See more awards »",Not Major Role,TV Series                                     - Comedy,No Metacritic,7.0,Mr. Sunshine,(2011– )
Jorge Garcia,"Nominated for 2 Primetime Emmys.
Another 18 wins & 78 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 60 min                 - Drama|Mystery|Sci-Fi,No Metacritic,8.5,Fringe,(2008–2013)
Jorge Garcia,"Won 1 Golden Globe.
Another 69 wins & 296 nominations.

See more awards »",Major Role,TV Series                                 -                                 44 min                 - Adventure|Drama|Fantasy,No Metacritic,8.5,Lost,(2004–2010)
Jorge Garcia,"Won 3 Primetime Emmys.
Another 35 nominations.

See more awards »",Not Major Role,TV Series                                     -                             60 min                 - Comedy|Music|Talk-Show,No Metacritic,6.8,Jimmy Kimmel Live!,(2003– )
Jorge Garcia,"Nominated for 1 Primetime Emmy.


See more awards »",Not Major Role,TV Mini-Series                         -                             33 min                 - Drama|Fantasy|Sci-Fi,No Metacritic,8.2,Lost: Missing Pieces,(2007)
Jorge Garcia,No Awards,Major Role,Comedy                 -              2007(USA),No Metacritic,7.2,Sweetzer,(2007)
Jorge Garcia,"1 win & 3 nominations.

See more awards »",Major Role,93 min                 - Comedy|Family                 -              22 November 2006(USA),28/100,4.8,Deck the Halls,(2006)
Jorge Garcia,"2 nominations.

See more awards »",Not Major Role,Video Game                         - Action|Crime|Drama                 -              26 May 2006(USA),No Metacritic,9.0,Hitman: Blood Money,(2006)
Jorge Garcia,No Awards,Major Role,103 min                 - Comedy|Crime|Drama                 -              June 2005(USA),No Metacritic,5.6,Little Athens,(2005)
Jorge Garcia,No Awards,Major Role,112 min                 - Drama|Romance                 -              16 March 2005(USA),No Metacritic,6.2,The Good Humor Man,(2005)
Jorge Garcia,"1 win & 1 nomination.

See more awards »",Not Major Role,TV Series                                 -                                 30 min                 - Animation|Family,No Metacritic,4.6,Higglytown Heroes,(2004– )
Jorge Garcia,"Nominated for 1 Oscar.
Another 4 wins.

See more awards »",Major Role,14 min                 - Comedy|Short                 -              8 October 2004(USA),No Metacritic,7.5,Our Time Is Up,(2004)
Jorge Garcia,No Awards,Major Role,88 min                 - Comedy|Romance                 -              3 May 2004(USA),No Metacritic,6.9,Happily Even After,(2004)
Jorge Garcia,"Won 1 Golden Globe.
Another 18 wins & 92 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 28 min                 - Comedy,No Metacritic,8.8,Curb Your Enthusiasm,(1999– )
Jorge Garcia,No Awards,Not Major Role,Video                            90 min                 - Horror|Comedy                 -              28 September 2004(USA),No Metacritic,4.3,Tales from the Crapper,(2004)
Jorge Garcia,"Nominated for 1 Golden Globe.
Another 4 wins & 6 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 30 min                 - Comedy,No Metacritic,7.3,Becker,(1998–2004)
Jorge Garcia,No Awards,Not Major Role,TV Series                                     -                             30 min                 - Comedy|Drama|Family,No Metacritic,5.4,"Rock Me, Baby",(2003–2004)
Jorge Garcia,"Won 2 Golden Globes.
Another 19 wins & 45 nominations.

See more awards »",Not Major Role,TV Series                                     -                             100 min                 - Crime|Drama|Mystery,No Metacritic,8.2,Columbo,(1971–2003)
Jorge Garcia,No Awards,Major Role,TV Movie                         - Comedy                 -              2003(USA),No Metacritic,7.1,Old School,(2003)
Jorge Garcia,No Awards,Not Major Role,TV Movie                     -                                 88 min                 - Drama                 -              31 March 2002(USA),No Metacritic,6.1,Big Shot: Confessions of a Campus Bookie,(2002)
